ID,Nombre,Categoría,Descripción,Precio,Stock,Peso (kg),Proveedor,Fecha de Ingreso,Descuento (%)
1,Producto 405,Deportes,Descripción del producto 1,91.41,285,14.7,Proveedor C,2022-12-23,15.99
2,Producto 320,Deportes,Descripción del producto 2,339.49,446,4.4,Proveedor D,2024-05-21,8.47
3,Producto 469,Hogar,Descripción del producto 3,147.67,163,9.69,Proveedor C,2021-12-06,20.77
4,Producto 6,Moda,Descripción del producto 4,181.9,164,44.07,Proveedor B,2022-10-15,31.54
5,Producto 229,Hogar,Descripción del producto 5,915.89,207,5.69,Proveedor C,2020-06-06,36.03
6,Producto 123,Deportes,Descripción del producto 6,190.64,60,24.6,Proveedor C,2023-09-12,7.37
7,Producto 369,Electrónica,Descripción del producto 7,282.72,386,24.73,Proveedor B,2020-05-21,9.24
8,Producto 57,Moda,Descripción del producto 8,416.54,193,24.12,Proveedor A,2020-05-27,40.1
9,Producto 103,Moda,Descripción del producto 9,90.37,155,41.98,Proveedor A,2020-12-22,6.81
10,Producto 325,Electrónica,Descripción del producto 10,802.39,340,11.41,Proveedor C,2021-01-11,10.18
11,Producto 488,Electrónica,Descripción del producto 11,703.58,116,4.75,Proveedor A,2023-01-03,35.47
12,Producto 383,Juguetería,Descripción del producto 12,756.68,414,45.31,Proveedor A,2023-04-22,0.34
13,Producto 186,Hogar,Descripción del producto 13,175.03,467,45.33,Proveedor C,2022-07-07,12.82
14,Producto 297,Hogar,Descripción del producto 14,368.77,350,15.2,Proveedor A,2021-10-21,19.5
15,Producto 177,Electrónica,Descripción del producto 15,836.9,111,26.0,Proveedor B,2024-09-12,30.16
16,Producto 16,Electrónica,Descripción del producto 16,320.28,98,46.75,Proveedor C,2023-09-11,15.39
17,Producto 219,Moda,Descripción del producto 17,911.89,137,2.46,Proveedor B,2020-06-05,10.52
18,Producto 220,Deportes,Descripción del producto 18,218.53,296,20.25,Proveedor D,2021-11-25,21.99
19,Producto 252,Hogar,Descripción del producto 19,195.54,500,33.6,Proveedor D,2023-01-17,3.92
20,Producto 244,Deportes,Descripción del producto 20,693.25,266,40.86,Proveedor C,2020-07-05,41.09
21,Producto 492,Juguetería,Descripción del producto 21,151.14,216,38.34,Proveedor A,2021-04-07,22.03
22,Producto 296,Moda,Descripción del producto 22,105.99,99,33.35,Proveedor B,2021-08-20,6.83
23,Producto 443,Juguetería,Descripción del producto 23,70.89,493,30.6,Proveedor A,2022-08-21,7.47
24,Producto 166,Electrónica,Descripción del producto 24,933.03,210,6.57,Proveedor B,2022-06-22,34.76
25,Producto 489,Moda,Descripción del producto 25,179.29,347,38.47,Proveedor C,2022-02-23,15.98
26,Producto 112,Juguetería,Descripción del producto 26,944.17,183,26.74,Proveedor B,2021-09-27,28.74
27,Producto 287,Electrónica,Descripción del producto 27,380.15,66,31.53,Proveedor A,2023-10-11,30.72
28,Producto 281,Hogar,Descripción del producto 28,294.85,120,9.81,Proveedor D,2024-12-06,13.29
29,Producto 309,Juguetería,Descripción del producto 29,775.28,255,39.99,Proveedor A,2022-08-06,21.34
30,Producto 121,Deportes,Descripción del producto 30,651.58,353,5.58,Proveedor D,2020-04-20,27.89
31,Producto 1,Hogar,Descripción del producto 31,663.59,444,15.85,Proveedor C,2024-11-20,7.63
32,Producto 493,Deportes,Descripción del producto 32,470.0,289,5.78,Proveedor D,2023-03-21,47.06
33,Producto 78,Moda,Descripción del producto 33,96.45,137,28.48,Proveedor D,2023-11-15,9.6
34,Producto 296,Juguetería,Descripción del producto 34,779.4,258,21.88,Proveedor B,2023-04-28,46.38
35,Producto 423,Juguetería,Descripción del producto 35,929.61,116,44.0,Proveedor C,2024-11-04,0.93
36,Producto 87,Deportes,Descripción del producto 36,437.5,124,2.16,Proveedor A,2024-10-15,7.75
37,Producto 101,Electrónica,Descripción del producto 37,156.41,54,1.63,Proveedor B,2022-12-14,26.87
38,Producto 482,Moda,Descripción del producto 38,150.74,228,7.33,Proveedor A,2021-04-18,21.73
39,Producto 394,Moda,Descripción del producto 39,312.77,351,40.32,Proveedor D,2024-09-08,39.39
40,Producto 347,Juguetería,Descripción del producto 40,958.79,200,44.59,Proveedor D,2024-05-15,16.97
41,Producto 420,Moda,Descripción del producto 41,793.37,12,11.93,Proveedor B,2022-02-13,2.4
42,Producto 83,Deportes,Descripción del producto 42,620.74,480,40.31,Proveedor D,2023-08-03,19.9
43,Producto 231,Deportes,Descripción del producto 43,310.27,232,42.7,Proveedor D,2020-05-04,46.28
44,Producto 75,Moda,Descripción del producto 44,55.95,283,25.63,Proveedor B,2023-03-10,34.54
45,Producto 356,Electrónica,Descripción del producto 45,741.89,338,27.85,Proveedor A,2022-07-26,34.55
46,Producto 106,Juguetería,Descripción del producto 46,409.86,448,41.86,Proveedor A,2020-11-23,24.39
47,Producto 203,Juguetería,Descripción del producto 47,115.89,305,26.68,Proveedor D,2020-08-06,14.8
48,Producto 275,Hogar,Descripción del producto 48,467.83,306,14.69,Proveedor D,2023-10-03,30.9
49,Producto 87,Hogar,Descripción del producto 49,87.75,391,5.5,Proveedor D,2023-02-14,7.39
50,Producto 251,Hogar,Descripción del producto 50,195.05,212,41.12,Proveedor B,2021-03-25,45.43
51,Producto 496,Hogar,Descripción del producto 51,344.43,173,1.52,Proveedor C,2021-12-18,37.67
52,Producto 40,Hogar,Descripción del producto 52,326.69,296,48.92,Proveedor A,2024-09-25,15.95
53,Producto 417,Juguetería,Descripción del producto 53,384.57,60,5.13,Proveedor C,2020-12-09,2.2
54,Producto 67,Deportes,Descripción del producto 54,302.1,268,31.88,Proveedor B,2023-11-06,47.23
55,Producto 9,Moda,Descripción del producto 55,841.67,280,22.23,Proveedor A,2021-04-03,22.23
56,Producto 132,Hogar,Descripción del producto 56,131.64,290,23.81,Proveedor A,2022-01-02,23.41
57,Producto 315,Electrónica,Descripción del producto 57,225.02,363,47.28,Proveedor A,2022-10-03,18.74
58,Producto 102,Juguetería,Descripción del producto 58,58.14,240,10.23,Proveedor C,2020-08-21,0.58
59,Producto 149,Juguetería,Descripción del producto 59,631.65,137,30.88,Proveedor D,2020-08-20,24.66
60,Producto 324,Juguetería,Descripción del producto 60,107.43,455,36.82,Proveedor A,2023-04-17,47.47
61,Producto 39,Hogar,Descripción del producto 61,81.48,475,26.88,Proveedor D,2024-10-25,17.09
62,Producto 78,Juguetería,Descripción del producto 62,613.33,52,40.62,Proveedor C,2021-08-18,3.78
63,Producto 47,Deportes,Descripción del producto 63,982.66,217,25.26,Proveedor B,2021-10-09,24.9
64,Producto 344,Deportes,Descripción del producto 64,841.84,304,12.28,Proveedor B,2020-01-26,32.48
65,Producto 269,Moda,Descripción del producto 65,972.08,347,9.34,Proveedor C,2021-09-09,4.27
66,Producto 409,Juguetería,Descripción del producto 66,958.41,54,21.04,Proveedor B,2020-02-15,48.23
67,Producto 496,Moda,Descripción del producto 67,362.06,138,27.66,Proveedor C,2024-02-20,12.62
68,Producto 343,Juguetería,Descripción del producto 68,941.29,447,42.66,Proveedor D,2020-04-15,18.48
69,Producto 380,Moda,Descripción del producto 69,962.58,23,1.49,Proveedor A,2023-08-14,34.37
70,Producto 297,Deportes,Descripción del producto 70,106.09,149,43.76,Proveedor C,2020-11-09,45.46
71,Producto 403,Deportes,Descripción del producto 71,606.17,169,25.73,Proveedor A,2023-02-16,25.62
72,Producto 204,Juguetería,Descripción del producto 72,485.53,77,42.93,Proveedor C,2024-12-15,24.39
73,Producto 110,Electrónica,Descripción del producto 73,366.4,123,36.75,Proveedor D,2024-03-06,36.64
74,Producto 181,Moda,Descripción del producto 74,168.05,273,31.51,Proveedor A,2022-01-04,13.11
75,Producto 379,Electrónica,Descripción del producto 75,683.28,4,3.41,Proveedor B,2021-09-01,48.12
76,Producto 387,Hogar,Descripción del producto 76,978.4,350,44.86,Proveedor B,2021-10-20,38.25
77,Producto 319,Moda,Descripción del producto 77,426.51,148,43.53,Proveedor A,2020-01-11,31.03
78,Producto 132,Deportes,Descripción del producto 78,993.32,447,29.5,Proveedor D,2024-10-17,4.0
79,Producto 205,Electrónica,Descripción del producto 79,83.31,239,48.6,Proveedor B,2023-09-03,15.13
80,Producto 317,Moda,Descripción del producto 80,893.87,314,43.4,Proveedor D,2022-05-12,19.28
81,Producto 328,Juguetería,Descripción del producto 81,582.46,445,1.2,Proveedor A,2023-01-20,19.66
82,Producto 287,Hogar,Descripción del producto 82,715.13,125,35.74,Proveedor B,2022-09-21,43.63
83,Producto 266,Hogar,Descripción del producto 83,629.52,297,35.48,Proveedor B,2020-05-16,7.95
84,Producto 409,Electrónica,Descripción del producto 84,567.22,72,23.55,Proveedor C,2024-10-16,1.63
85,Producto 330,Deportes,Descripción del producto 85,51.27,146,22.09,Proveedor A,2022-06-12,34.74
86,Producto 182,Hogar,Descripción del producto 86,767.05,450,35.13,Proveedor D,2020-12-25,43.0
87,Producto 287,Juguetería,Descripción del producto 87,471.08,420,48.4,Proveedor A,2023-10-25,26.92
88,Producto 421,Deportes,Descripción del producto 88,164.3,358,10.25,Proveedor C,2024-10-08,38.94
89,Producto 328,Moda,Descripción del producto 89,117.31,401,24.74,Proveedor B,2024-12-14,45.73
90,Producto 184,Hogar,Descripción del producto 90,575.18,240,41.53,Proveedor A,2020-06-23,26.37
91,Producto 161,Juguetería,Descripción del producto 91,539.84,479,32.21,Proveedor D,2024-02-16,41.22
92,Producto 291,Hogar,Descripción del producto 92,293.23,9,26.71,Proveedor D,2023-09-11,5.79
93,Producto 113,Hogar,Descripción del producto 93,106.83,395,46.38,Proveedor B,2020-10-17,32.64
94,Producto 236,Deportes,Descripción del producto 94,319.38,163,7.33,Proveedor A,2021-01-28,46.24
95,Producto 87,Deportes,Descripción del producto 95,983.2,343,35.33,Proveedor C,2022-04-10,44.62
96,Producto 334,Electrónica,Descripción del producto 96,674.12,358,18.04,Proveedor C,2023-04-15,22.52
97,Producto 312,Moda,Descripción del producto 97,618.81,90,38.17,Proveedor B,2020-01-10,41.56
98,Producto 322,Hogar,Descripción del producto 98,110.45,204,12.23,Proveedor A,2022-12-18,7.1
